company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
HINDUNILVR,2017-03,+,-,+,Mixed
HINDUNILVR,2018-03,+,-,-,Shareholder Returns
HINDUNILVR,2019-03,+,-,+,Mixed
HINDUNILVR,2020-03,+,-,-,Shareholder Returns
HINDUNILVR,2021-03,+,-,-,Shareholder Returns
HINDUNILVR,2022-03,+,-,-,Shareholder Returns
HINDUNILVR,2023-03,+,-,-,Shareholder Returns
HINDUNILVR,2024-03,+,-,-,Shareholder Returns
ICICIBANK,2011-03,+,-,-,Shareholder Returns
ICICIBANK,2012-03,+,-,-,Shareholder Returns
ICICIBANK,2013-03,+,-,+,Mixed
ICICIBANK,2014-03,+,-,+,Mixed
ICICIBANK,2015-03,+,-,+,Mixed
ICICIBANK,2016-03,+,-,-,Shareholder Returns
ICICIBANK,2017-03,+,-,-,Shareholder Returns
ICICIBANK,2018-03,+,-,-,Shareholder Returns
ICICIBANK,2019-03,+,-,-,Reinvestor
ICICIBANK,2020-03,+,-,-,Shareholder Returns
ICICIBANK,2021-03,+,-,-,Shareholder Returns
ICICIBANK,2022-03,+,-,+,Mixed
ICICIBANK,2023-03,+,-,+,Mixed
ICICIBANK,2024-03,+,-,-,Shareholder Returns
ICICIPRULI,2012-03,+,-,+,Mixed
ICICIPRULI,2013-03,+,-,-,Shareholder Returns
ICICIPRULI,2014-03,+,-,-,Reinvestor
ICICIPRULI,2015-03,+,-,-,Shareholder Returns
ICICIPRULI,2016-03,+,-,-,Shareholder Returns
ICICIPRULI,2017-03,+,-,-,Shareholder Returns
ICICIPRULI,2018-03,+,-,+,Mixed
ICICIPRULI,2019-03,+,-,+,Mixed
ICICIPRULI,2020-03,+,-,-,Shareholder Returns
ICICIPRULI,2021-03,+,-,-,Shareholder Returns
ICICIPRULI,2022-03,+,-,-,Shareholder Returns
ICICIPRULI,2023-03,+,-,-,Shareholder Returns
ICICIPRULI,2024-03,+,-,-,Shareholder Returns
INDIGO,2013-03,+,-,+,Mixed
INDIGO,2014-03,+,-,-,Shareholder Returns
INDIGO,2015-03,+,-,+,Mixed
INDIGO,2016-03,+,-,-,Shareholder Returns
INDIGO,2017-03,+,-,+,Mixed
INDIGO,2018-03,+,-,+,Mixed
INDIGO,2019-03,+,-,-,Shareholder Returns
INDIGO,2020-03,+,-,-,Shareholder Returns
INDIGO,2021-03,+,-,-,Shareholder Returns
INDIGO,2022-03,+,-,-,Shareholder Returns
INDIGO,2023-03,+,-,-,Shareholder Returns
INDIGO,2024-03,-,-,+,Growth Funded by Debt
INDUSINDBK,2010-03,+,-,-,Shareholder Returns
INDUSINDBK,2011-03,+,-,+,Mixed
INDUSINDBK,2012-03,+,-,-,Shareholder Returns
INDUSINDBK,2013-03,+,-,-,Shareholder Returns
INDUSINDBK,2015-03,+,-,-,Shareholder Returns
INDUSINDBK,2016-03,+,-,-,Shareholder Returns
INDUSINDBK,2017-03,+,-,-,Shareholder Returns
INDUSINDBK,2018-03,+,-,-,Shareholder Returns
INDUSINDBK,2019-03,+,-,-,Reinvestor
INDUSINDBK,2020-03,+,-,+,Mixed
INDUSINDBK,2021-03,+,-,-,Shareholder Returns
INDUSINDBK,2022-03,+,-,-,Shareholder Returns
INDUSINDBK,2023-03,+,-,-,Shareholder Returns
INDUSINDBK,2024-03,+,-,-,Shareholder Returns
INFY,2010-03,+,-,-,Shareholder Returns
INFY,2011-03,+,-,-,Shareholder Returns
INFY,2012-03,+,-,-,Reinvestor
INFY,2013-03,+,-,-,Shareholder Returns
INFY,2014-03,+,-,+,Mixed
INFY,2015-03,+,-,-,Shareholder Returns
INFY,2016-03,+,-,-,Shareholder Returns
INFY,2017-03,+,-,-,Shareholder Returns
INFY,2018-03,+,-,-,Shareholder Returns
INFY,2020-03,+,-,+,Mixed
INFY,2021-03,+,-,+,Mixed
INFY,2022-03,+,-,-,Shareholder Returns
INFY,2024-03,+,-,+,Mixed
IOC,2011-03,+,-,-,Shareholder Returns
IOC,2012-03,+,-,-,Reinvestor
IOC,2013-03,+,-,-,Shareholder Returns
IOC,2014-03,+,-,-,Shareholder Returns
IOC,2016-03,+,-,-,Shareholder Returns
IOC,2017-03,+,-,+,Mixed
IOC,2018-03,+,-,-,Shareholder Returns
IOC,2019-03,+,-,-,Shareholder Returns
IOC,2020-03,+,-,-,Shareholder Returns
IOC,2022-03,+,-,-,Shareholder Returns
IOC,2023-03,+,-,-,Shareholder Returns
IOC,2024-03,+,-,-,Shareholder Returns
IRCTC,2012-03,+,-,+,Mixed
IRCTC,2013-03,+,-,-,Shareholder Returns
IRCTC,2014-03,+,-,-,Shareholder Returns
IRCTC,2015-03,+,-,-,Shareholder Returns
IRCTC,2016-03,+,-,-,Shareholder Returns
IRCTC,2017-03,+,-,-,Shareholder Returns
IRCTC,2018-03,+,-,-,Shareholder Returns
IRCTC,2019-03,+,-,-,Shareholder Returns
IRCTC,2020-03,+,-,+,Mixed
IRCTC,2021-03,+,-,-,Shareholder Returns
IRCTC,2022-03,+,-,+,Mixed
IRCTC,2023-03,+,-,-,Shareholder Returns
IRCTC,2024-03,+,-,-,Shareholder Returns
ITC,2013-03,+,-,+,Mixed
ITC,2014-03,+,-,+,Mixed
ITC,2015-03,+,-,+,Mixed
ITC,2016-03,+,-,-,Shareholder Returns
ITC,2017-03,+,-,-,Shareholder Returns
ITC,2018-03,+,-,-,Shareholder Returns
ITC,2019-03,+,-,-,Shareholder Returns
ITC,2020-03,+,-,-,Reinvestor
ITC,2021-03,+,-,-,Shareholder Returns
ITC,2022-03,+,-,-,Shareholder Returns
ITC,2023-03,+,-,-,Shareholder Returns
ITC,2024-03,+,-,+,Mixed
JINDALSTEL,2011-03,+,-,-,Shareholder Returns
JINDALSTEL,2012-03,+,-,-,Reinvestor
JINDALSTEL,2013-03,+,-,-,Shareholder Returns
JINDALSTEL,2014-03,+,-,-,Shareholder Returns
JINDALSTEL,2015-03,+,-,-,Shareholder Returns
JINDALSTEL,2016-03,+,-,-,Shareholder Returns
JINDALSTEL,2017-03,+,-,-,Shareholder Returns
JINDALSTEL,2018-03,+,-,-,Shareholder Returns
JINDALSTEL,2019-03,+,-,+,Mixed
JINDALSTEL,2020-03,+,-,+,Mixed
JINDALSTEL,2021-03,+,-,-,Shareholder Returns
JINDALSTEL,2022-03,+,-,-,Reinvestor
JINDALSTEL,2023-03,+,-,-,Shareholder Returns
JINDALSTEL,2024-03,+,-,+,Mixed
JSWENERGY,2012-03,+,-,-,Shareholder Returns
JSWENERGY,2014-03,+,-,-,Shareholder Returns
JSWENERGY,2015-03,+,-,+,Mixed
JSWENERGY,2016-03,+,-,+,Mixed
JSWENERGY,2017-03,+,-,+,Mixed
JSWENERGY,2018-03,+,-,+,Mixed
JSWENERGY,2020-03,+,-,+,Mixed
JSWENERGY,2021-03,+,-,-,Shareholder Returns
JSWENERGY,2022-03,+,-,-,Shareholder Returns
JSWENERGY,2023-03,+,-,-,Shareholder Returns
JSWENERGY,2024-03,+,-,-,Shareholder Returns
JSWSTEEL,2011-03,+,-,+,Mixed
JSWSTEEL,2012-03,-,-,+,Growth Funded by Debt
JSWSTEEL,2013-03,+,-,+,Mixed
JSWSTEEL,2014-03,+,-,-,Shareholder Returns
JSWSTEEL,2015-03,+,-,-,Shareholder Returns
JSWSTEEL,2016-03,+,-,+,Mixed
JSWSTEEL,2017-03,+,-,-,Shareholder Returns
JSWSTEEL,2018-03,+,-,+,Mixed
JSWSTEEL,2019-03,+,-,-,Shareholder Returns
JSWSTEEL,2020-03,+,-,+,Mixed
JSWSTEEL,2021-03,+,-,+,Mixed
JSWSTEEL,2022-03,+,-,+,Mixed
JSWSTEEL,2023-03,+,-,-,Shareholder Returns
JSWSTEEL,2024-03,+,-,-,Shareholder Returns
KOTAKBANK,2011-03,+,-,-,Shareholder Returns
KOTAKBANK,2012-03,+,-,-,Shareholder Returns
KOTAKBANK,2013-03,+,-,+,Mixed
KOTAKBANK,2014-03,+,-,-,Shareholder Returns
KOTAKBANK,2015-03,+,-,-,Shareholder Returns
KOTAKBANK,2016-03,+,-,-,Shareholder Returns
KOTAKBANK,2017-03,+,-,+,Mixed
KOTAKBANK,2018-03,+,-,-,Shareholder Returns
KOTAKBANK,2020-03,+,-,+,Mixed
KOTAKBANK,2021-03,+,-,+,Mixed
KOTAKBANK,2022-03,+,-,-,Shareholder Returns
KOTAKBANK,2023-03,+,-,-,Shareholder Returns
KOTAKBANK,2024-03,+,-,-,Reinvestor
LICI,2010-03,+,-,+,Mixed
LICI,2011-03,+,-,+,Mixed
LICI,2012-03,+,-,-,Shareholder Returns
LICI,2013-03,+,-,-,Shareholder Returns
LICI,2014-03,+,-,+,Mixed
LICI,2015-03,+,-,-,Shareholder Returns
LICI,2016-03,+,-,-,Shareholder Returns
LICI,2017-03,+,-,+,Mixed
LICI,2018-03,+,-,-,Shareholder Returns
LICI,2019-03,+,-,+,Mixed
LICI,2020-03,+,-,-,Shareholder Returns
LICI,2021-03,+,-,-,Shareholder Returns
LICI,2022-03,+,-,-,Shareholder Returns
LICI,2023-03,+,-,+,Mixed
LICI,2024-03,+,-,+,Mixed
LT,2011-03,+,-,+,Mixed
LT,2012-03,+,-,-,Reinvestor
LT,2013-03,+,-,+,Mixed
LT,2014-03,+,-,-,Shareholder Returns
LT,2015-03,+,-,-,Shareholder Returns
LT,2016-03,+,-,-,Shareholder Returns
LT,2017-03,+,-,-,Shareholder Returns
LT,2018-03,+,-,+,Mixed
LT,2019-03,+,-,+,Mixed
LT,2020-03,+,-,-,Shareholder Returns
LT,2021-03,+,-,+,Mixed
LT,2022-03,+,-,-,Shareholder Returns
LT,2023-03,+,-,+,Mixed
LT,2024-03,+,-,-,Shareholder Returns
LTIM,2012-03,+,-,-,Shareholder Returns
LTIM,2013-03,+,-,-,Shareholder Returns
LTIM,2016-03,+,-,+,Mixed
LTIM,2017-03,+,-,-,Shareholder Returns
LTIM,2018-03,+,-,-,Shareholder Returns
LTIM,2019-03,+,-,-,Shareholder Returns
LTIM,2020-03,+,-,-,Shareholder Returns
LTIM,2021-03,+,-,-,Reinvestor
LTIM,2022-03,+,-,-,Shareholder Returns
LTIM,2024-03,+,-,+,Mixed
M&M,2011-03,+,-,-,Shareholder Returns
M&M,2012-03,-,-,+,Growth Funded by Debt
M&M,2013-03,+,-,-,Shareholder Returns
M&M,2014-03,+,-,-,Shareholder Returns
M&M,2015-03,+,-,-,Reinvestor
M&M,2016-03,+,-,+,Mixed
M&M,2017-03,+,-,-,Reinvestor
M&M,2019-03,+,-,-,Shareholder Returns
M&M,2020-03,+,-,-,Shareholder Returns
M&M,2021-03,+,-,-,Shareholder Returns
M&M,2022-03,+,-,-,Shareholder Returns
M&M,2023-03,+,-,-,Shareholder Returns
M&M,2024-03,+,-,-,Shareholder Returns
MARICO,2013-03,+,-,-,Shareholder Returns
MARICO,2014-03,+,-,-,Shareholder Returns
MARICO,2015-03,+,-,-,Shareholder Returns
MARICO,2016-03,+,-,+,Mixed
MARICO,2017-03,+,-,-,Shareholder Returns
MARICO,2018-03,+,-,-,Shareholder Returns
MARICO,2019-03,+,-,-,Shareholder Returns
MARICO,2020-03,+,-,+,Mixed
MARICO,2021-03,+,-,-,Shareholder Returns
MARICO,2022-03,+,-,+,Mixed
MARICO,2024-03,+,-,-,Shareholder Returns
MARUTI,2010-03,+,-,+,Mixed
MARUTI,2011-03,+,-,-,Shareholder Returns
MARUTI,2012-03,+,-,-,Shareholder Returns
MARUTI,2013-03,+,-,+,Mixed
MARUTI,2014-03,+,-,-,Shareholder Returns
MARUTI,2015-03,+,-,-,Shareholder Returns
MARUTI,2016-03,+,-,-,Shareholder Returns
MARUTI,2017-03,+,-,+,Mixed
MARUTI,2018-03,+,-,-,Shareholder Returns
MARUTI,2019-03,+,-,-,Shareholder Returns
MARUTI,2020-03,+,-,-,Shareholder Returns
MARUTI,2021-03,+,-,+,Mixed
MARUTI,2022-03,+,-,-,Shareholder Returns
MARUTI,2023-03,+,-,+,Mixed
MARUTI,2024-03,+,-,-,Shareholder Returns
NAUKRI,2010-03,+,-,-,Shareholder Returns
NAUKRI,2011-03,+,-,+,Mixed
NAUKRI,2012-03,+,-,+,Mixed
NAUKRI,2013-03,+,-,-,Shareholder Returns
NAUKRI,2014-03,+,-,-,Shareholder Returns
NAUKRI,2015-03,+,-,+,Mixed
NAUKRI,2016-03,+,-,-,Reinvestor
NAUKRI,2017-03,+,-,-,Shareholder Returns
NAUKRI,2018-03,+,-,-,Shareholder Returns
NAUKRI,2019-03,+,-,+,Mixed
NAUKRI,2020-03,+,-,-,Shareholder Returns
NAUKRI,2021-03,+,-,-,Shareholder Returns
NAUKRI,2022-03,+,-,-,Shareholder Returns
NAUKRI,2023-03,+,-,+,Mixed
NAUKRI,2024-03,-,-,+,Growth Funded by Debt
NESTLEIND,2010-03,+,-,-,Reinvestor
NESTLEIND,2011-03,+,-,-,Shareholder Returns
NESTLEIND,2013-03,+,-,-,Shareholder Returns
NESTLEIND,2014-03,+,-,-,Shareholder Returns
NESTLEIND,2015-03,+,-,-,Shareholder Returns
NESTLEIND,2016-03,+,-,-,Shareholder Returns
NESTLEIND,2017-03,+,-,+,Mixed
NESTLEIND,2018-03,+,-,-,Shareholder Returns
NESTLEIND,2019-03,+,-,+,Mixed
NESTLEIND,2020-03,+,-,+,Mixed
NESTLEIND,2021-03,+,-,+,Mixed
NESTLEIND,2023-03,+,-,+,Mixed
NESTLEIND,2024-03,+,-,-,Shareholder Returns
NHPC,2011-03,+,-,+,Mixed
NHPC,2013-03,+,-,-,Shareholder Returns
NHPC,2014-03,+,-,-,Shareholder Returns
NHPC,2015-03,+,-,-,Shareholder Returns
NHPC,2017-03,+,-,-,Reinvestor
NHPC,2018-03,+,-,+,Mixed
NHPC,2019-03,+,-,-,Shareholder Returns
NHPC,2020-03,+,-,-,Shareholder Returns
NHPC,2022-03,+,-,-,Shareholder Returns
NHPC,2023-03,+,-,-,Shareholder Returns
NTPC,2011-03,+,-,-,Shareholder Returns
NTPC,2012-03,+,-,-,Shareholder Returns
NTPC,2013-03,+,-,-,Shareholder Returns
NTPC,2014-03,+,-,-,Reinvestor
NTPC,2015-03,+,-,-,Shareholder Returns
NTPC,2016-03,+,-,-,Shareholder Returns
NTPC,2017-03,+,-,+,Mixed
NTPC,2018-03,+,-,-,Shareholder Returns
NTPC,2019-03,+,-,-,Reinvestor
NTPC,2020-03,+,-,-,Shareholder Returns
NTPC,2021-03,+,-,-,Shareholder Returns
NTPC,2022-03,+,-,-,Shareholder Returns
NTPC,2023-03,+,-,-,Shareholder Returns
NTPC,2024-03,+,-,-,Shareholder Returns
OBEROIRLTY,2011-03,+,-,-,Shareholder Returns
OBEROIRLTY,2012-03,-,-,+,Growth Funded by Debt
OBEROIRLTY,2013-03,+,-,-,Reinvestor
OBEROIRLTY,2014-03,+,-,+,Mixed
OBEROIRLTY,2015-03,+,-,-,Shareholder Returns
OBEROIRLTY,2016-03,+,-,+,Mixed
OBEROIRLTY,2017-03,+,-,-,Shareholder Returns
OBEROIRLTY,2018-03,+,-,-,Reinvestor
OBEROIRLTY,2019-03,+,-,-,Shareholder Returns
OBEROIRLTY,2020-03,+,-,-,Shareholder Returns
OBEROIRLTY,2021-03,+,-,+,Mixed
OBEROIRLTY,2022-03,+,-,-,Shareholder Returns
OBEROIRLTY,2023-03,+,-,-,Shareholder Returns
OBEROIRLTY,2024-03,+,-,-,Shareholder Returns
ONGC,2012-03,+,-,-,Shareholder Returns
ONGC,2013-03,+,-,-,Shareholder Returns
ONGC,2014-03,+,-,-,Shareholder Returns
ONGC,2015-03,+,-,-,Shareholder Returns
ONGC,2016-03,+,-,-,Shareholder Returns
ONGC,2017-03,+,-,-,Shareholder Returns
ONGC,2018-03,+,-,+,Mixed
ONGC,2019-03,+,-,+,Mixed
ONGC,2020-03,+,-,-,Shareholder Returns
ONGC,2021-03,+,-,-,Shareholder Returns
ONGC,2023-03,+,-,-,Shareholder Returns
ONGC,2024-03,+,-,+,Mixed
PIDILITIND,2011-03,+,-,-,Shareholder Returns
PIDILITIND,2012-03,+,-,+,Mixed
PIDILITIND,2013-03,+,-,+,Mixed
PIDILITIND,2014-03,+,-,-,Shareholder Returns
PIDILITIND,2015-03,+,-,-,Shareholder Returns
PIDILITIND,2016-03,+,-,+,Mixed
PIDILITIND,2017-03,+,-,+,Mixed
PIDILITIND,2018-03,+,-,+,Mixed
PIDILITIND,2019-03,+,-,-,Shareholder Returns
PIDILITIND,2020-03,+,-,-,Shareholder Returns
PIDILITIND,2021-03,+,-,-,Shareholder Returns
PIDILITIND,2022-03,+,-,+,Mixed
PIDILITIND,2023-03,+,-,-,Shareholder Returns
PIDILITIND,2024-03,+,-,-,Shareholder Returns
PNB,2011-03,+,-,-,Reinvestor
PNB,2012-03,+,-,-,Reinvestor
PNB,2013-03,+,-,-,Shareholder Returns
PNB,2014-03,+,-,-,Shareholder Returns
PNB,2015-03,+,-,+,Mixed
PNB,2016-03,+,-,-,Shareholder Returns
PNB,2017-03,+,-,-,Shareholder Returns
PNB,2018-03,+,-,-,Shareholder Returns
PNB,2019-03,+,-,-,Shareholder Returns
PNB,2020-03,+,-,-,Shareholder Returns
PNB,2021-03,+,-,-,Shareholder Returns
PNB,2023-03,+,-,-,Shareholder Returns
PNB,2024-03,+,-,-,Shareholder Returns
POWERGRID,2011-03,+,-,-,Reinvestor
POWERGRID,2012-03,+,-,+,Mixed
POWERGRID,2013-03,+,-,-,Shareholder Returns
POWERGRID,2014-03,+,-,-,Shareholder Returns
POWERGRID,2015-03,+,-,-,Shareholder Returns
POWERGRID,2016-03,+,-,-,Shareholder Returns
POWERGRID,2017-03,+,-,-,Shareholder Returns
POWERGRID,2018-03,+,-,-,Shareholder Returns
POWERGRID,2019-03,+,-,-,Shareholder Returns
POWERGRID,2020-03,+,-,-,Shareholder Returns
POWERGRID,2021-03,+,-,+,Mixed
POWERGRID,2022-03,+,-,-,Shareholder Returns
POWERGRID,2023-03,+,-,-,Shareholder Returns
POWERGRID,2024-03,+,-,-,Shareholder Returns
RELIANCE,2010-03,+,-,-,Shareholder Returns
RELIANCE,2011-03,+,-,+,Mixed
RELIANCE,2012-03,+,-,-,Shareholder Returns
RELIANCE,2013-03,+,-,-,Shareholder Returns
RELIANCE,2014-03,+,-,+,Mixed
RELIANCE,2015-03,+,-,-,Shareholder Returns
RELIANCE,2017-03,+,-,+,Mixed
RELIANCE,2018-03,+,-,-,Shareholder Returns
RELIANCE,2020-03,+,-,-,Reinvestor
RELIANCE,2021-03,+,-,-,Shareholder Returns
RELIANCE,2022-03,+,-,+,Mixed
RELIANCE,2023-03,+,-,-,Shareholder Returns
RELIANCE,2024-03,+,-,-,Shareholder Returns
SBILIFE,2011-03,+,-,-,Shareholder Returns
SBILIFE,2013-03,+,-,-,Reinvestor
SBILIFE,2014-03,+,-,-,Shareholder Returns
SBILIFE,2015-03,+,-,-,Shareholder Returns
SBILIFE,2016-03,+,-,-,Shareholder Returns
SBILIFE,2017-03,+,-,-,Shareholder Returns
SBILIFE,2018-03,+,-,+,Mixed
SBILIFE,2019-03,+,-,-,Shareholder Returns
SBILIFE,2020-03,+,-,-,Shareholder Returns
SBILIFE,2021-03,+,-,-,Shareholder Returns
SBILIFE,2022-03,+,-,+,Mixed
SBILIFE,2023-03,+,-,-,Shareholder Returns
SBILIFE,2024-03,+,-,-,Shareholder Returns
SBIN,2011-03,+,-,-,Shareholder Returns
SBIN,2012-03,+,-,-,Reinvestor
SBIN,2013-03,+,-,-,Shareholder Returns
SBIN,2014-03,+,-,+,Mixed
SBIN,2015-03,+,-,-,Shareholder Returns
SBIN,2016-03,+,-,+,Mixed
SBIN,2017-03,+,-,-,Shareholder Returns
SBIN,2018-03,+,-,-,Shareholder Returns
SBIN,2019-03,+,-,+,Mixed
SBIN,2020-03,+,-,-,Shareholder Returns
SBIN,2021-03,+,-,-,Shareholder Returns
SBIN,2022-03,+,-,-,Shareholder Returns
SBIN,2023-03,+,-,+,Mixed
SBIN,2024-03,+,-,-,Shareholder Returns
SHREECEM,2011-03,+,-,-,Shareholder Returns
SHREECEM,2012-03,+,-,+,Mixed
SHREECEM,2013-03,+,-,-,Shareholder Returns
SHREECEM,2014-03,+,-,+,Mixed
SHREECEM,2015-03,+,-,+,Mixed
SHREECEM,2016-03,+,-,-,Shareholder Returns
SHREECEM,2017-03,+,-,-,Reinvestor
SHREECEM,2018-03,+,-,-,Shareholder Returns
SHREECEM,2019-03,+,-,-,Shareholder Returns
SHREECEM,2020-03,+,-,-,Shareholder Returns
SHREECEM,2021-03,+,-,-,Shareholder Returns
SHREECEM,2022-03,+,-,-,Shareholder Returns
SHREECEM,2023-03,+,-,-,Shareholder Returns
SHREECEM,2024-03,+,-,-,Shareholder Returns
SHRIRAMFIN,2011-03,+,-,-,Shareholder Returns
SHRIRAMFIN,2013-03,+,-,-,Shareholder Returns
SHRIRAMFIN,2015-03,+,-,-,Reinvestor
SHRIRAMFIN,2016-03,+,-,+,Mixed
SHRIRAMFIN,2017-03,+,-,-,Shareholder Returns
SHRIRAMFIN,2018-03,+,-,-,Shareholder Returns
SHRIRAMFIN,2019-03,+,-,-,Shareholder Returns
SHRIRAMFIN,2020-03,+,-,-,Shareholder Returns
SHRIRAMFIN,2021-03,+,-,-,Shareholder Returns
SHRIRAMFIN,2022-03,+,-,-,Shareholder Returns
SHRIRAMFIN,2023-03,+,-,+,Mixed
SHRIRAMFIN,2024-03,+,-,+,Mixed
SIEMENS,2013-03,+,-,-,Shareholder Returns
SIEMENS,2014-03,+,-,+,Mixed
SIEMENS,2015-03,+,-,-,Shareholder Returns
SIEMENS,2016-03,+,-,-,Shareholder Returns
SIEMENS,2017-03,+,-,-,Shareholder Returns
SIEMENS,2018-03,+,-,-,Shareholder Returns
SIEMENS,2019-03,+,-,-,Shareholder Returns
SIEMENS,2020-03,+,-,+,Mixed
SIEMENS,2021-03,+,-,+,Mixed
SIEMENS,2022-03,+,-,-,Shareholder Returns
SIEMENS,2023-03,+,-,-,Reinvestor
SIEMENS,2024-03,+,-,-,Reinvestor
SUNPHARMA,2011-03,+,-,-,Reinvestor
SUNPHARMA,2012-03,+,-,+,Mixed
SUNPHARMA,2013-03,+,-,-,Shareholder Returns
SUNPHARMA,2014-03,+,-,+,Mixed
SUNPHARMA,2015-03,+,-,-,Shareholder Returns
SUNPHARMA,2016-03,+,-,+,Mixed
SUNPHARMA,2017-03,+,-,-,Shareholder Returns
SUNPHARMA,2018-03,+,-,-,Shareholder Returns
SUNPHARMA,2019-03,+,-,+,Mixed
SUNPHARMA,2020-03,+,-,-,Shareholder Returns
SUNPHARMA,2022-03,+,-,+,Mixed
SUNPHARMA,2023-03,+,-,-,Reinvestor
SUNPHARMA,2024-03,+,-,-,Reinvestor
TATACOMM,2012-03,+,-,-,Shareholder Returns
TATACOMM,2013-03,+,-,-,Shareholder Returns
TATACOMM,2014-03,+,-,+,Mixed
TATACOMM,2015-03,+,-,-,Reinvestor
TATACOMM,2016-03,+,-,-,Shareholder Returns
TATACOMM,2017-03,+,-,-,Shareholder Returns
TATACOMM,2018-03,+,-,-,Shareholder Returns
TATACOMM,2019-03,+,-,-,Shareholder Returns
TATACOMM,2020-03,+,-,-,Shareholder Returns
TATACOMM,2021-03,+,-,-,Shareholder Returns
TATACOMM,2022-03,+,-,-,Shareholder Returns
TATACOMM,2023-03,+,-,-,Shareholder Returns
TATACOMM,2024-03,+,-,+,Mixed
TATACONSUM,2011-03,+,-,+,Mixed
TATACONSUM,2012-03,+,-,+,Mixed
TATACONSUM,2013-03,+,-,-,Reinvestor
TATACONSUM,2014-03,+,-,-,Shareholder Returns
TATACONSUM,2015-03,+,-,+,Mixed
TATACONSUM,2016-03,-,-,+,Growth Funded by Debt
TATACONSUM,2017-03,+,-,-,Shareholder Returns
TATACONSUM,2018-03,+,-,+,Mixed
TATACONSUM,2019-03,+,-,-,Shareholder Returns
TATACONSUM,2020-03,+,-,-,Shareholder Returns
TATACONSUM,2021-03,+,-,+,Mixed
TATACONSUM,2022-03,+,-,-,Shareholder Returns
TATACONSUM,2023-03,+,-,-,Shareholder Returns
TATACONSUM,2024-03,+,-,-,Shareholder Returns
TATAMOTORS,2013-03,+,-,-,Shareholder Returns
TATAMOTORS,2014-03,+,-,-,Shareholder Returns
TATAMOTORS,2015-03,+,-,-,Reinvestor
TATAMOTORS,2016-03,+,-,-,Reinvestor
TATAMOTORS,2017-03,+,-,-,Shareholder Returns
TATAMOTORS,2018-03,+,-,-,Reinvestor
TATAMOTORS,2019-03,+,-,-,Shareholder Returns
TATAMOTORS,2020-03,+,-,-,Shareholder Returns
TATAMOTORS,2021-03,+,-,-,Shareholder Returns
TATAMOTORS,2023-03,+,-,-,Shareholder Returns
TATAMOTORS,2024-03,+,-,-,Shareholder Returns
TATAPOWER,2010-03,+,-,+,Mixed
TATAPOWER,2011-03,+,-,-,Shareholder Returns
TATAPOWER,2012-03,+,-,+,Mixed
TATAPOWER,2013-03,+,-,-,Shareholder Returns
TATAPOWER,2014-03,+,-,-,Shareholder Returns
TATAPOWER,2015-03,+,-,-,Shareholder Returns
TATAPOWER,2016-03,+,-,-,Shareholder Returns
TATAPOWER,2017-03,+,-,-,Reinvestor
TATAPOWER,2018-03,+,-,-,Shareholder Returns
TATAPOWER,2019-03,+,-,-,Shareholder Returns
TATAPOWER,2020-03,+,-,-,Shareholder Returns
TATAPOWER,2021-03,+,-,-,Shareholder Returns
TATAPOWER,2022-03,+,-,-,Shareholder Returns
TATAPOWER,2023-03,+,-,-,Shareholder Returns
TATAPOWER,2024-03,+,-,+,Mixed
TATASTEEL,2011-03,+,-,-,Shareholder Returns
TATASTEEL,2012-03,+,-,-,Shareholder Returns
TATASTEEL,2013-03,+,-,+,Mixed
TATASTEEL,2014-03,+,-,-,Shareholder Returns
TATASTEEL,2015-03,+,-,-,Shareholder Returns
TATASTEEL,2016-03,+,-,-,Shareholder Returns
TATASTEEL,2017-03,+,-,-,Shareholder Returns
TATASTEEL,2018-03,+,-,-,Shareholder Returns
TATASTEEL,2019-03,+,-,-,Reinvestor
TATASTEEL,2020-03,+,-,-,Shareholder Returns
TATASTEEL,2021-03,+,-,-,Shareholder Returns
TATASTEEL,2022-03,+,-,-,Shareholder Returns
TATASTEEL,2023-03,+,-,-,Shareholder Returns
TATASTEEL,2024-03,+,-,+,Mixed
TCS,2010-03,+,-,-,Shareholder Returns
TCS,2011-03,+,-,-,Shareholder Returns
TCS,2012-03,+,-,+,Mixed
TCS,2013-03,+,-,-,Shareholder Returns
TCS,2014-03,+,-,-,Shareholder Returns
TCS,2015-03,+,-,-,Shareholder Returns
TCS,2016-03,+,-,-,Reinvestor
TCS,2017-03,+,-,-,Shareholder Returns
TCS,2018-03,+,-,-,Shareholder Returns
TCS,2019-03,-,-,+,Growth Funded by Debt
TCS,2021-03,+,-,+,Mixed
TCS,2022-03,+,-,-,Shareholder Returns
TCS,2023-03,+,-,-,Shareholder Returns
TCS,2024-03,+,-,+,Mixed
TECHM,2011-03,+,-,+,Mixed
TECHM,2012-03,+,-,-,Shareholder Returns
TECHM,2013-03,+,-,-,Shareholder Returns
TECHM,2014-03,-,-,+,Growth Funded by Debt
TECHM,2016-03,+,-,-,Shareholder Returns
TECHM,2017-03,+,-,-,Shareholder Returns
TECHM,2018-03,+,-,-,Shareholder Returns
TECHM,2019-03,+,-,+,Mixed
TECHM,2020-03,+,-,+,Mixed
TECHM,2021-03,+,-,+,Mixed
TECHM,2022-03,+,-,-,Shareholder Returns
TECHM,2023-03,+,-,-,Reinvestor
TECHM,2024-03,+,-,-,Shareholder Returns
TITAN,2013-03,+,-,-,Shareholder Returns
